2025-06-05 17:19:28,932 ERROR: Errore durante l'analisi di 35E (Procan ALPHA 4) DEU 01_2019.pdf: Chiave API Google AI non trovata. Configurare la variabile d'ambiente GOOGLE_AI_API_KEY.
2025-06-05 18:59:53,533 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,534 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,535 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,535 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,536 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,536 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,536 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,536 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,537 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,537 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,537 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,537 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,538 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,538 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,538 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,538 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,539 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,539 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,539 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,540 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:53,540 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
2025-06-05 18:59:54,574 WARNING: CropBox missing from /Page, defaulting to MediaBox
